得,"de2,dé",obtain | must | (complement particle),"Type the reading, Comrade",Image
死,"sǐ,si3",to die,"Type the reading, Comrade",Image
干,"gàn,gan4",to work; do; manage; tree trunk | to concern; shield; dry; clean (Kangxi radical 51),"Type the reading, Comrade",Image
而,"ér,er2",and,"Type the reading, Comrade",Image
等,"deng3,děng",to wait,"Type the reading, Comrade",Image
当,"dang1,dāng",to serve as,"Type the reading, Comrade",Image
所有,"suǒ yǒu,suo3 you3,suo3you3,suǒyǒu",to have; all,"Type the reading, Comrade",Image
也许,"yěxǔ,ye3 xu3,ye3xu3,yě xǔ",perhaps,"Type the reading, Comrade",Image
行,"xing2,xíng",row,"Type the reading, Comrade",Image
不过,"bu2 guo4,bu2guo4,bú guò,búguò",only; merely; but; however ???,"Type the reading, Comrade",Image
发生,"fāshēng,fā shēng,fa1sheng1,fa1 sheng1","to take place, occur","Type the reading, Comrade",Image
一切,"yi2qie4,yíqiè,yi2 qie4,yí qiè","all, every","Type the reading, Comrade",Image
抱,"bao4,bào",to hold; to hug; carry in one's arms; to cradle,"Type the reading, Comrade",Image
抱歉,"bàoqiàn,bao4qian4,bao4 qian4,bào qiàn",be sorry; feel apologetic; to regret,"Type the reading, Comrade",Image
感觉,"gan3 jue2,gǎnjué,gan3jue2,gǎn jué",to feel; become aware of; feeling,"Type the reading, Comrade",Image
肯定,"ken3 ding4,kěndìng,ken3ding4,kěn dìng",sure; definite; affirm; approve,"Type the reading, Comrade",Image
棒,"bang4,bàng",stick; club; good; excellent,"Type the reading, Comrade",Image
以,"yǐ,yi3",to use; according to; so as to; for; by,"Type the reading, Comrade",Image
以为,"yi3 wei2,yǐwéi,yǐ wéi,yi3wei2",think (mistakenly); consider (that); believe,"Type the reading, Comrade",Image
掉,"diao4,diào",to drop; to fall,"Type the reading, Comrade",Image
生活,"sheng1 huo2,shēnghuó,sheng1huo2,shēng huó",life; livelihood; to live,"Type the reading, Comrade",Image
之,"zhi1,zhī",(literary equivalent to 的); (pronoun); of,"Type the reading, Comrade",Image
任何,"ren4 he2,ren4he2,rèn hé,rènhé",any; whatever; whichever,"Type the reading, Comrade",Image
与,"yǔ,yu3",(formal) and; to give; together with; participate; final particle expressing doubt or surprise,"Type the reading, Comrade",Image
弄,"nong4,nòng",do; manage; to handle; make | lane; alley,"Type the reading, Comrade",Image
却,"que4,què",but; yet; however,"Type the reading, Comrade",Image
继续,"jìxù,ji4 xu4,ji4xu4,jì xù",to continue; to go on; to proceed,"Type the reading, Comrade",Image
够,"gòu,gou4",enough; to reach,"Type the reading, Comrade",Image
父亲,"fu4 qin5,fu4qin5,fùqin,fù qin",father,"Type the reading, Comrade",Image
完全,"wán quán,wánquán,wan2quan2,wan2 quan2",complete; whole; totally,"Type the reading, Comrade",Image
可是,"ke3shi4,kě shì,ke3 shi4,kěshì",but; however,"Type the reading, Comrade",Image
谈,"tan2,tán",to talk; to chat; discuss,"Type the reading, Comrade",Image
好像,"hǎo xiàng,hao3 xiang4,hǎoxiàng,hao3xiang4",as if; seem to be,"Type the reading, Comrade",Image
警察,"jing3 cha2,jing3cha2,jǐng chá,jǐngchá",police,"Type the reading, Comrade",Image
场,"chang3,chǎng",field,"Type the reading, Comrade",Image
刚,"gāng,gang1",just (indicating the immediate past); recently; firm,"Type the reading, Comrade",Image
呀,"ya5,ya","ah; oh; (used for 啊 after words ending with a, e, i, o, or ü)","Type the reading, Comrade",Image
情况,"qing2kuang4,qíngkuàng,qíng kuàng,qing2 kuang4",circumstance; state of affairs; situation,"Type the reading, Comrade",Image
只要,"zhi3yao4,zhǐ yào,zhǐyào,zhi3 yao4",so long as; if only; provided that,"Type the reading, Comrade",Image
份,"fen4,fèn","part; portion; (mw for documents, papers, jobs, etc.)","Type the reading, Comrade",Image
底,"dǐ,di3",bottom; background; base,"Type the reading, Comrade",Image
到底,"dào  dǐ,dao4  di3,dàodǐ,dao4di3",after all; in the end (used in a question),"Type the reading, Comrade",Image
成为,"cheng2 wei2,chéngwéi,cheng2wei2,chéng wéi",become; turn into,"Type the reading, Comrade",Image
永远,"yong3yuan3,yǒngyuǎn,yong3 yuan3,yǒng yuǎn",forever; eternal; always,"Type the reading, Comrade",Image
安全,"ān quán,an1 quan2,an1quan2,ānquán",safe; safety; secure; security,"Type the reading, Comrade",Image
留,"liu2,liú","to leave (behind, a message); to retain; to stay","Type the reading, Comrade",Image
计划,"jìhuà,ji4 hua4,ji4hua4,jì huà",plan; project,"Type the reading, Comrade",Image
俩,"liǎ,lia3",(colloquial) two (people),"Type the reading, Comrade",Image
停,"tíng,ting2",to stop; to halt; to park (a car),"Type the reading, Comrade",Image
感谢,"gan3 xie4,gan3xie4,gǎn xiè,gǎnxiè",thank; be grateful,"Type the reading, Comrade",Image
敢,"gan3,gǎn",to dare,"Type the reading, Comrade",Image
从来,"cong2lai2,cónglái,cóng lái,cong2 lai2",have always (from the beginning); never (with negative),"Type the reading, Comrade",Image
赢,"ying2,yíng",to win; to beat; to profit,"Type the reading, Comrade",Image
消息,"xiāo xi,xiao1xi5,xiāoxi,xiao1 xi5",news; information,"Type the reading, Comrade",Image
拉,"lā,la1",to pull; to play (string instruments); to drag | to slash; to chat,"Type the reading, Comrade",Image
原因,"yuan2 yin1,yuányīn,yuán yīn,yuan2yin1",cause; reason,"Type the reading, Comrade",Image
连,"lián,lian2",even; including; join,"Type the reading, Comrade",Image
确实,"que4shi2,que4 shi2,quèshí,què shí",indeed; in truth; reliable,"Type the reading, Comrade",Image
挺,"ting3,tǐng",straighten up; stick out; rather (good); very,"Type the reading, Comrade",Image
保证,"bǎozhèng,bao3zheng4,bǎo zhèng,bao3 zheng4",to guarantee; ensure,"Type the reading, Comrade",Image
接受,"jie1 shou4,jiēshòu,jie1shou4,jiē shòu","accept; receive (honors, etc.)","Type the reading, Comrade",Image
改变,"gai3bian4,gai3 bian4,gǎibiàn,gǎi biàn",to change; alter; to transform,"Type the reading, Comrade",Image
麻烦,"máfan,ma2fan5,má fan,ma2 fan5",trouble (someone); troubling; bothersome,"Type the reading, Comrade",Image
出现,"chūxiàn,chu1 xian4,chū xiàn,chu1xian4",appear; arise; emerge,"Type the reading, Comrade",Image
不管,"bu4 guan3,bù guǎn,bu4guan3,bùguǎn","no matter (what, how, etc.); regardless of","Type the reading, Comrade",Image
甚至,"shen4zhi4,shen4 zhi4,shènzhì,shèn zhì",even (to the point of); so much so that,"Type the reading, Comrade",Image
保护,"bǎo hù,bao3hu4,bao3 hu4,bǎohù",to protect; to defend,"Type the reading, Comrade",Image
真正,"zhen1zheng4,zhen1 zheng4,zhēn zhèng,zhēnzhèng",genuine; real; true,"Type the reading, Comrade",Image
结果,"jie2guo3,jiéguǒ,jie2 guo3,jié guǒ",result; outcome; finally,"Type the reading, Comrade",Image
当时,"dang1 shi2,dāngshí,dang1shi2,dāng shí",then; at that time; while,"Type the reading, Comrade",Image
至少,"zhì shǎo,zhi4 shao3,zhi4shao3,zhìshǎo",at least; (to say the) least,"Type the reading, Comrade",Image
律师,"lv4shi1,lǜ shī,lv4 shi1,lǜshī",lawyer,"Type the reading, Comrade",Image
表演,"biǎo yǎn,biao3yan3,biao3 yan3,biǎoyǎn",perform; to play,"Type the reading, Comrade",Image
无,"wú,wu2",have not; without; not (Kangxi radical 71),"Type the reading, Comrade",Image
猜,"cāi,cai1",to guess,"Type the reading, Comrade",Image
咱们,"zánmen,zan2 men5,zán men,zan2men5",we (including the listener); us; our,"Type the reading, Comrade",Image
进行,"jin4 xing2,jìnxíng,jin4xing2,jìn xíng",carry on; carry out; undertake,"Type the reading, Comrade",Image
内,"nèi,nei4",inside; inner; internal; within,"Type the reading, Comrade",Image
是否,"shi4 fou3,shìfǒu,shì fǒu,shi4fou3",whether (or not); if,"Type the reading, Comrade",Image
调查,"diào chá,diao4cha2,diao4 cha2,diàochá",investigate; survey; inquiry,"Type the reading, Comrade",Image
成功,"chénggōng,chéng gōng,cheng2gong1,cheng2 gong1",success; to succeed,"Type the reading, Comrade",Image
考虑,"kǎo lǜ,kǎolǜ,kao3lv4,kao3 lv4",think over; consider,"Type the reading, Comrade",Image
约会,"yuēhuì,yue1 hui4,yuē huì,yue1hui4",appointment; engagement; date,"Type the reading, Comrade",Image
通过,"tōng guò,tong1 guo4,tōngguò,tong1guo4",by means of; through (a method); pass through; via,"Type the reading, Comrade",Image
开心,"kāi xīn,kāixīn,kai1 xin1,kai1xin1",feel happy; have a great time; make fun of somebody,"Type the reading, Comrade",Image
母亲,"mu3qin5,mǔqin,mǔ qin,mu3 qin5",mother,"Type the reading, Comrade",Image
主意,"zhǔyi,zhu3yi5,zhu3 yi5,zhǔ yi",plan; idea; decision,"Type the reading, Comrade",Image
倒,"dǎo,dao3",to collapse; to fall; fail; to exchange | to pour; contrary to expectations,"Type the reading, Comrade",Image
解释,"jiě shì,jiěshì,jie3 shi4,jie3shi4",to explain,"Type the reading, Comrade",Image
联系,"liánxì,lián xì,lian2 xi4,lian2xi4",integrate; link; connection; contact,"Type the reading, Comrade",Image
证明,"zheng4 ming2,zheng4ming2,zhèngmíng,zhèng míng",proof; testify; confirm; certificate,"Type the reading, Comrade",Image
生命,"sheng1 ming4,sheng1ming4,shēngmìng,shēng mìng",life,"Type the reading, Comrade",Image
难道,"nán dào,nándào,nan2 dao4,nan2dao4",could it be that ...?; don't tell me ...,"Type the reading, Comrade",Image
由,"yóu,you2",follow; from; by; through,"Type the reading, Comrade",Image
指,"zhǐ,zhi3","finger; to point (at, to, out); refer to","Type the reading, Comrade",Image
危险,"wēi xiǎn,wei1xian3,wei1 xian3,wēixiǎn",danger; dangerous; perilous,"Type the reading, Comrade",Image
讨厌,"tǎoyàn,tǎo yàn,tao3 yan4,tao3yan4",to hate; loathe; disgusting; troublesome,"Type the reading, Comrade",Image
醒,"xǐng,xing3",wake up,"Type the reading, Comrade",Image
样子,"yàngzi,yang4 zi5,yàng zi,yang4zi5",manner; air; appearance; looks,"Type the reading, Comrade",Image
有趣,"you3 qu4,yǒuqù,you3qu4,yǒu qù",interesting; fascinating; amusing,"Type the reading, Comrade",Image
提,"ti2,tí",to carry; to lift; to raise (an issue),"Type the reading, Comrade",Image
部分,"bu4 fen5,bù fen,bùfen,bu4fen5",part; share; section,"Type the reading, Comrade",Image
理解,"li3jie3,lǐ jiě,li3 jie3,lǐjiě",comprehend; understand,"Type the reading, Comrade",Image
重,"zhong4,zhòng",heavy; serious; important | repeat; again; overlap,"Type the reading, Comrade",Image
任务,"ren4 wu5,ren4wu5,rèn wu,rènwu",a mission; an assignment; a task,"Type the reading, Comrade",Image
使,"shi3,shǐ",to use; to make; to cause; enable; envoy; messenger,"Type the reading, Comrade",Image
转,"zhuan3,zhuǎn",to turn; to change; pass on | revolve; rotate,"Type the reading, Comrade",Image
博士,"bo2shi4,bóshì,bo2 shi4,bó shì",doctor; PhD,"Type the reading, Comrade",Image
紧张,"jǐnzhāng,jin3 zhang1,jǐn zhāng,jin3zhang1",nervous; tension; strain,"Type the reading, Comrade",Image
放弃,"fàng qì,fang4 qi4,fang4qi4,fàngqì",abandon; renounce; give up,"Type the reading, Comrade",Image
大概,"da4gai4,dàgài,dà gài,da4 gai4",probably; roughly; approximate,"Type the reading, Comrade",Image
重新,"chong2xin1,chong2 xin1,chóngxīn,chóng xīn",again; anew; once more,"Type the reading, Comrade",Image
其中,"qí zhōng,qi2 zhong1,qi2zhong1,qízhōng",among; in; included among these,"Type the reading, Comrade",Image
来自,"láizì,lái zì,lai2 zi4,lai2zi4",come from (a place),"Type the reading, Comrade",Image
本来,"běn lái,ben3lai2,ben3 lai2,běnlái",originally; at first,"Type the reading, Comrade",Image
并且,"bìngqiě,bing4 qie3,bìng qiě,bing4qie3",and; besides; moreover,"Type the reading, Comrade",Image
直接,"zhíjiē,zhi2jie1,zhi2 jie1,zhí jiē",direct; immediate,"Type the reading, Comrade",Image
对于,"duì yú,dui4yu2,duìyú,dui4 yu2",regarding; as far as sth. is concerned; with regards to; for,"Type the reading, Comrade",Image
正常,"zheng4 chang2,zhèng cháng,zheng4chang2,zhèngcháng",normal; regular; ordinary,"Type the reading, Comrade",Image
遍,"bian4,biàn",a time; everywhere; turn; (mw for times or turns),"Type the reading, Comrade",Image
冷静,"leng3 jing4,leng3jing4,lěngjìng,lěng jìng",calm; cool-headed; sober,"Type the reading, Comrade",Image
方法,"fang1fa3,fang1 fa3,fāng fǎ,fāngfǎ",method; way; means,"Type the reading, Comrade",Image
扔,"reng1,rēng",to throw; throw away,"Type the reading, Comrade",Image
能力,"nénglì,neng2li4,neng2 li4,néng lì",capability; capable; ability,"Type the reading, Comrade",Image
另外,"ling4 wai4,lìngwài,lìng wài,ling4wai4",another; in addition; besides,"Type the reading, Comrade",Image
放松,"fang4song1,fàng sōng,fang4 song1,fàngsōng",relax; loosen; slacken,"Type the reading, Comrade",Image
丢,"diu1,diū",lose (something); throw; put aside,"Type the reading, Comrade",Image
负责,"fu4 ze2,fùzé,fù zé,fu4ze2",responsible for (something); in charge of,"Type the reading, Comrade",Image
梦,"mèng,meng4",to dream,"Type the reading, Comrade",Image
戴,"dài,dai4",put on; to wear; to respect,"Type the reading, Comrade",Image
错误,"cuòwù,cuo4 wu4,cuo4wu4,cuò wù",error; mistake; mistaken,"Type the reading, Comrade",Image
随便,"suíbiàn,suí biàn,sui2 bian4,sui2bian4",as one pleases; informal; random; casual,"Type the reading, Comrade",Image
经历,"jīnglì,jing1 li4,jing1li4,jīng lì",undergo; to experience,"Type the reading, Comrade",Image
支持,"zhīchí,zhi1 chi2,zhi1chi2,zhī chí",sustain; hold out; | support; stand by (e.g. international support),"Type the reading, Comrade",Image
建议,"jiàn yì,jian4 yi4,jian4yi4,jiànyì",to propose; to suggest; recommend,"Type the reading, Comrade",Image
否则,"fou3ze2,fou3 ze2,fǒuzé,fǒu zé",if not; otherwise; or else,"Type the reading, Comrade",Image
光,"guāng,guang1",light; ray; bright; only; merely; used up,"Type the reading, Comrade",Image
安排,"ān pái,ānpái,an1 pai2,an1pai2",arrange; to plan,"Type the reading, Comrade",Image
钥匙,"yao4shi5,yao4 shi5,yàoshi,yào shi",key,"Type the reading, Comrade",Image
信息,"xin4xi1,xìn xī,xin4 xi1,xìnxī",information; news; message,"Type the reading, Comrade",Image
全部,"quan2bu4,quán bù,quánbù,quan2 bu4",whole; entire; complete,"Type the reading, Comrade",Image
首先,"shǒu xiān,shou3xian1,shǒuxiān,shou3 xian1",first (of all); in the first place; firstly,"Type the reading, Comrade",Image
照,"zhao4,zhào",to shine; illuminate; according to,"Type the reading, Comrade",Image
交,"jiao1,jiāo",deliver; turn over; intersect; to pay (money); friendship,"Type the reading, Comrade",Image
台,"tái,tai2",platform; Taiwan (abbr.); desk; stage; typhoon; (mw for machines); (classical) you (in letters),"Type the reading, Comrade",Image
坚持,"jian1chi2,jian1 chi2,jiān chí,jiānchí",persist in; persevere,"Type the reading, Comrade",Image
生意,"shēngyi,shēng yi,sheng1yi5,sheng1 yi5",business; trade,"Type the reading, Comrade",Image
火,"huo3,huǒ",fire (Kangxi radical 86),"Type the reading, Comrade",Image
即使,"ji2 shi3,jí shǐ,jíshǐ,ji2shi3",even if; even though,"Type the reading, Comrade",Image
到处,"dàochù,dào chù,dao4 chu4,dao4chu4",everywhere; in all places; all over,"Type the reading, Comrade",Image
挂,"guà,gua4",hang; put up; suspend,"Type the reading, Comrade",Image
道歉,"dao4qian4,dàoqiàn,dao4 qian4,dào qiàn",apologize; make an apology,"Type the reading, Comrade",Image
可怜,"kě lián,ke3 lian2,kělián,ke3lian2",pitiful; poor; pathetic,"Type the reading, Comrade",Image
实在,"shízài,shí zài,shi2zai4,shi2 zai4",honest; in reality; honestly; indeed; certainly,"Type the reading, Comrade",Image
骗,"piàn,pian4",to cheat; to swindle; deceive,"Type the reading, Comrade",Image
原谅,"yuan2 liang4,yuán liàng,yuánliàng,yuan2liang4",to excuse; forgive; to pardon,"Type the reading, Comrade",Image
乱,"luàn,luan4",disorder; confusion; arbitrarily,"Type the reading, Comrade",Image
差不多,"chàbuduō,chà bu duō,cha4bu5duo1,cha4 bu5 duo1",almost; about the same,"Type the reading, Comrade",Image
满,"mǎn,man3",full; abbreviation for Manchurian,"Type the reading, Comrade",Image
假,"jiǎ,jia3",fake; if; borrow | vacation; holiday,"Type the reading, Comrade",Image
研究,"yánjiū,yan2 jiu1,yán jiū,yan2jiu1",to study; to research,"Type the reading, Comrade",Image
打扰,"dǎ rǎo,da3 rao3,dǎrǎo,da3rao3",disturb,"Type the reading, Comrade",Image
正确,"zhèng què,zhèngquè,zheng4 que4,zheng4que4",correct; proper,"Type the reading, Comrade",Image
收,"shou1,shōu",receive; accept; collect; to harvest,"Type the reading, Comrade",Image
秒,"miao3,miǎo",second (unit of time or angle),"Type the reading, Comrade",Image
同时,"tong2 shi2,tóngshí,tóng shí,tong2shi2",at the same time; simultaneously,"Type the reading, Comrade",Image
提供,"tí gōng,tígōng,ti2gong1,ti2 gong1",to supply; provide; furnish,"Type the reading, Comrade",Image
输,"shu1,shū","to transport; to lose (a game, etc.)","Type the reading, Comrade",Image
号码,"hao4 ma3,hàomǎ,hào mǎ,hao4ma3",number,"Type the reading, Comrade",Image
座,"zuò,zuo4","(mw for mountains, bridges, tall buildings, etc.); | seat; base; stand; constellation","Type the reading, Comrade",Image
比如,"bi3ru2,bi3 ru2,bǐ rú,bǐrú",for example; for instance; such as,"Type the reading, Comrade",Image
严重,"yán zhòng,yan2 zhong4,yánzhòng,yan2zhong4",grave; serious; critical,"Type the reading, Comrade",Image
脱,"tuō,tuo1",to shed; take off; to escape,"Type the reading, Comrade",Image
陪,"pei2,péi",accompany; keep company,"Type the reading, Comrade",Image
法律,"fa3 lv4,fǎ lǜ,fǎlǜ,fa3lv4",law; statute,"Type the reading, Comrade",Image
值得,"zhi2de5,zhí de,zhíde,zhi2 de5",be worth; deserve,"Type the reading, Comrade",Image
使用,"shi3 yong4,shi3yong4,shǐyòng,shǐ yòng",to use; employ; apply; administer; manipulate,"Type the reading, Comrade",Image
方面,"fang1mian4,fāngmiàn,fāng miàn,fang1 mian4",aspect; field; side,"Type the reading, Comrade",Image
原来,"yuan2lai2,yuan2 lai2,yuán lái,yuánlái",original; former; as it turns out,"Type the reading, Comrade",Image
讨论,"tao3lun4,tǎolùn,tao3 lun4,tǎo lùn",to discuss; discussion; to talk over,"Type the reading, Comrade",Image
说明,"shuō míng,shuōmíng,shuo1 ming2,shuo1ming2",explain; explanation; illustrate; to show,"Type the reading, Comrade",Image
仍然,"reng2ran2,reng2 ran2,réngrán,réng rán",still; yet,"Type the reading, Comrade",Image
动作,"dong4zuo4,dòngzuò,dòng zuò,dong4 zuo4",movement; motion; action,"Type the reading, Comrade",Image
受到,"shou4dao4,shou4 dao4,shòu dào,shòudào","receive (influence, restriction, etc.); be subjected to","Type the reading, Comrade",Image
赶,"gan3,gǎn",catch up; overtake; drive away,"Type the reading, Comrade",Image
怀疑,"huáiyí,huái yí,huai2yi2,huai2 yi2",doubt; to suspect; be skeptical,"Type the reading, Comrade",Image
拒绝,"jù jué,ju4 jue2,ju4jue2,jùjué",to refuse; to decline; to reject,"Type the reading, Comrade",Image
演员,"yǎnyuán,yan3yuan2,yǎn yuán,yan3 yuan2",actor or actress; performer,"Type the reading, Comrade",Image
破,"pò,po4",broken; damaged; to split,"Type the reading, Comrade",Image
因此,"yīncǐ,yin1ci3,yin1 ci3,yīn cǐ",therefore; thus; that is why; because of this,"Type the reading, Comrade",Image
答案,"dá 'àn,da2'an4,dá'àn,da2 'an4",answer; solution,"Type the reading, Comrade",Image
活动,"huó dòng,huo2dong4,huo2 dong4,huódòng",activity; exercise; move about,"Type the reading, Comrade",Image
既然,"jìrán,ji4 ran2,ji4ran2,jì rán",since; given that; now that,"Type the reading, Comrade",Image
通知,"tōng zhī,tong1zhi1,tong1 zhi1,tōngzhī",notify; to inform; notice,"Type the reading, Comrade",Image
不得不,"bu4de2bu4,bùdébù,bu4  de2  bu4,bù  dé  bù",have to; have no choice but to; cannot but,"Type the reading, Comrade",Image
无论,"wúlùn,wu2 lun4,wu2lun4,wú lùn",no matter what; regardless of whether...,"Type the reading, Comrade",Image
刀,"dao1,dāo",knife; blade (Kangxi radical 18),"Type the reading, Comrade",Image
适合,"shi4 he2,shi4he2,shì hé,shìhé",to suit; to fit,"Type the reading, Comrade",Image
失望,"shīwàng,shī wàng,shi1 wang4,shi1wang4",disappointed; lose hope,"Type the reading, Comrade",Image
